"Code","Country_ECDC","Region","Income_group","ACAPS_suppression_number","ACAPS_reference","Description","source","Date_suppression","Date_lastACAPSifnosuppression","WPP_Population","end_exp_growth","deaths_at_end_exponential","cases_at_end_exponential","cases_per_death"
"JAM","Jamaica","Latin America & Caribbean","Upper middle income",1,"3870","daily: 8:00 P.M. to 6:00 A.M. island curfew. The curfew will run for seven days and is scheduled to end at 6:00 A.M. on April 8, 2020.","https://jm.usembassy.gov/covid-19-information-jamaica/",2020-04-01,NA,2961.161,2020-04-01,1,38,NA
"JOR","Jordan","Middle East & North Africa","Upper middle income",1,"843","Government imposes Defense law. All public and private offices shut down for two weeks.  Movement between cities and towns is stritcly prohibilited.  Military is deployed to enforce regulations","NRC MERO (Internal document)",2020-03-18,NA,10203.14,2020-03-18,0,35,NA
"JPN","Japan","East Asia & Pacific","High income",2,"NA","NA","NA",NA,NA,126476.458,2020-03-11,12,568,47.3333333333333
"KAZ","Kazakhstan","Europe & Central Asia","Upper middle income",3,"NA","NA","NA",NA,2020-03-28,18776.707,2020-03-28,0,193,NA
"KEN","Kenya","Sub-Saharan Africa","Lower middle income",1,"2748","Kenya is instating a curfew from 7pm - 5am for all citizens. Only medical professionals and critical and essential service providers will be exempt from the curfew. Kenyatta also announced a series of tax breaks to assist residents affected by the outbreak.","https://twitter.com/MOH_Kenya/status/1243525430147235843",2020-03-27,NA,53771.3,2020-03-27,1,31,NA
"KGZ","Kyrgyz Republic","Europe & Central Asia","Lower middle income",3,"NA","NA","NA",NA,2020-03-14,6524.191,NA,NA,NA,NA
"KHM","Cambodia","East Asia & Pacific","Lower middle income",3,"NA","NA","NA",NA,2020-03-17,16718.971,2020-03-17,0,24,NA
"KIR","Kiribati","East Asia & Pacific","Lower middle income",3,"NA","NA","NA",NA,2020-04-14,119.446,NA,NA,NA,NA
"KNA","St. Kitts and Nevis","Latin America & Caribbean","High income",3,"NA","NA","NA",NA,2020-03-25,NA,NA,NA,NA,NA
"KOR","South Korea","East Asia & Pacific","High income",2,"NA","NA","NA",NA,NA,51269.183,2020-02-26,11,1146,104.181818181818
"KWT","Kuwait","Middle East & North Africa","High income",1,"1730","Nationwide curfew from 5:00pm until 4:00am; violations fined by 10,000KD and imprisoned for up to three years. Foreign nationals found in violation of the curfew order also risk deportation.","https://kw.usembassy.gov/covid-19-information/",2020-03-22,NA,4270.563,2020-03-22,0,176,NA
"LAO","Lao PDR","East Asia & Pacific","Lower middle income",3,"NA","NA","NA",NA,2020-02-17,7275.556,NA,NA,NA,NA
"LBN","Lebanon","Middle East & North Africa","Upper middle income",1,"2989","Curfew from 19.00 to 05.00.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-26,NA,6825.442,2020-03-26,4,333,83.25
"LBR","Liberia","Sub-Saharan Africa","Low income",1,"4989","Liberia announces 3 week partial lockdown. During this period, residents may leave home only for essential journeys like reasons of health and food which should be restricted to your local communities and be limited to a single person per household for a maximum of one hour. The emergency law will last for three weeks and is renewable “until the threat to Liberia from the Covid-19 virus no longer exists"".","https://www.bbc.com/news/topics/c77jz3md70rt/liberia",2020-04-10,NA,5057.677,2020-04-10,4,31,7.75
"LBY","Libya","Middle East & North Africa","Upper middle income",1,"1946","Curfew set from 6pm to 6am, extended on 23rd March for 10 days","https://www.reuters.com/article/us-health-coronavirus-libya-curfew/eastern-libya-imposes-curfew-over-pandemic-idUSKBN21526W",2020-03-18,NA,6871.287,NA,NA,NA,NA
"LCA","St. Lucia","Latin America & Caribbean","Upper middle income",1,"3757","Partial scale down of all non-essential economic and social activities for a two-week period commencing from date *until April 5","https://34a1ju2gva4u3yrm051vedfb-wpengine.netdna-ssl.com/wp-content/uploads/2020/03/Statement-on-scale-down-of-Non-Essential-Services.pdf.pdf.pdf",2020-03-23,NA,183.629,2020-03-23,0,2,NA
"LIE","Liechtenstein","Europe & Central Asia","High income",1,"527","closure of restaurants and bars starting 16 March; no more gatherings with more than 5 persons","https://www.regierung.li/media/attachments/119-corona-massnahmen-verschaerft-0315.pdf?t=637199612907342827",2020-03-16,NA,NA,2020-03-16,0,7,NA
"LKA","Sri Lanka","South Asia","Upper middle income",1,"1178","Island wide curfew 6.00 pm today (March 20) until 6.00 am on Monday (March 23). imposed to stop the spread of Corona – quarantine centres increased to 22","https://news.lk/news/political-current-affairs/item/29806-island-wide-curfew-imposed-to-stop-the-spread-of-corona-quarantine-centres-increased-to-22",2020-03-20,NA,21413.25,2020-03-20,0,53,NA
"LSO","Lesotho","Sub-Saharan Africa","Lower middle income",1,"3474","Lesotho goes into lockdown until the 21st of April. Residents will still be permitted to buy food and seek medical care during this period. Emergency responders, health workers, and security service staff are exempt from the lockdown measures.","https://www.garda.com/crisis24/news-alerts/327786/lesotho-authorities-announce-lockdown-and-entry-restrictions-due-to-covid-19-effective-march-30",2020-03-30,NA,2142.252,NA,NA,NA,NA
"LTU","Lithuania","Europe & Central Asia","High income",1,"432","In country travels limitations and 1 meter distance between people.","http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution",2020-03-16,NA,2722.291,2020-03-16,0,14,NA
"LUX","Luxembourg","Europe & Central Asia","High income",1,"2125","Leaving is allowed for essentials, to get fresh air and work (if home office is not applicable)","https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B17-declaration-premier-chd.html",2020-03-17,NA,625.976,2020-03-17,1,81,NA
"LVA","Latvia","Europe & Central Asia","High income",3,"NA","NA","NA",NA,2020-04-09,1886.202,2020-04-09,2,577,NA
"MAC","Macao SAR, China","East Asia & Pacific","High income",4,"NA","NA","NA",NA,NA,649.342,NA,NA,NA,NA
"MAF","St. Martin (French part)","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"MAR","Morocco","Middle East & North Africa","Lower middle income",3,"NA","NA","NA",NA,2020-03-16,36910.558,2020-03-16,1,28,NA
"MCO","Monaco","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"MDA","Moldova","Europe & Central Asia","Lower middle income",1,"3108","the army will be deployed to enforce restriction measures.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-25,NA,4033.963,2020-03-25,1,125,NA
"MDG","Madagascar","Sub-Saharan Africa","Low income",1,"1614","A curfew is in place from 20:00 to 05:00.","https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus",2020-03-23,NA,27691.019,2020-03-23,0,3,NA
"MDV","Maldives","South Asia","Upper middle income",1,"5014","Between 17:00 and 20:00 all must stay at home and there are restrictions on all road traffic (including pedestrians). There is suspesion of all public transport during these hours. Exceptions for key workers.","https://covid19.health.gov.mv/wp-content/uploads/2020/04/Notice-number-28-Eng.pdf",2020-04-02,NA,540.542,2020-04-02,0,19,NA
"MEX","Mexico","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-04-03,128932.753,2020-04-03,50,1510,30.2
"MHL","Marshall Islands","East Asia & Pacific","Upper middle income",3,"NA","NA","NA",NA,2020-04-15,NA,NA,NA,NA,NA
"MKD","North Macedonia","Europe & Central Asia","Upper middle income",1,"2304","nationwide: between 21.00 and 05.00, effective from 22 March. On Saturdays and Sundays the curfew is in effect from 4 p.m. to 5 a.m. On Mondays through Fridays the curfew is in effect from 9 p.m. to 5 a.m.  People in need of emergency medical assistance are exempted. Within the villages, agricultural related activity is exempted from the curfew.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-24,NA,2083.38,2020-03-24,2,136,NA
"MLI","Mali","Sub-Saharan Africa","Low income",1,"4294","National curfew between 9pm and 5am.","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/mali/",2020-03-25,NA,20250.834,NA,NA,NA,NA
"MLT","Malta","Middle East & North Africa","High income",1,"4413","Max 3 person, apart from those co-living allowed in groups outside; fines of 100EUR per person","https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2020/March/30/pr200580.aspx",2020-03-30,NA,441.539,2020-03-30,0,156,NA
"MMR","Myanmar","East Asia & Pacific","Lower middle income",3,"NA","NA","NA",NA,2020-04-10,54409.794,2020-04-10,3,27,9
"MNE","Montenegro","Europe & Central Asia","Upper middle income",1,"3112","valid for 15days: ban on leaving the housing facility for citizens, from Monday to Friday, from 7pm to 5am the following day, and Saturday from 1pm to 5am on Monday. Exceptionally, for the duration of this ban, persons who take their pets out for a walk may stay in the public place for up to 60 minutes. This prohibition does not apply to persons who carry out regular tasks and provide services of public interest, and are an indispensable condition of life and work of citizens (health, inspection bodies, police, military, fire services, utilities, media - including persons coming to media shows, agricultural activities on farms, etc.), as evidenced by a certificate issued by the employer","http://www.gov.me/en/News/223443/New-measures-Ban-on-leaving-home-in-working-days-and-at-night-on-Saturday-afternoons-and-on-Sundays-all-day.html",2020-03-30,NA,628.062,2020-03-30,1,85,NA
"MNG","Mongolia","East Asia & Pacific","Lower middle income",3,"NA","NA","NA",NA,2020-03-27,3278.292,2020-03-27,0,11,NA
"MNP","Northern Mariana Islands","East Asia & Pacific","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"MOZ","Mozambique","Sub-Saharan Africa","Low income",3,"NA","NA","NA",NA,2020-04-14,31255.435,2020-04-14,0,27,NA
"MRT","Mauritania","Sub-Saharan Africa","Lower middle income",1,"1910","The government imposed a stricter curfew of 18:00-06:00.","https://www.africanews.com/2020/03/21/covid-19-mauritania-enforces-curfew//",2020-03-21,NA,4649.66,2020-03-21,0,2,NA
"MUS","Mauritius","Sub-Saharan Africa","Upper middle income",1,"3360","Curfew imposed from 23 March at 20:00 until 2 April at 20:00. Only those providing essential services and who have a permit will be able to travel. Workplace Access Permits required during curfew, as enforced by the Mauritius Police. Implementing restricted areas.","https://www.facebook.com/notes/coronavirus-moris/couvre-feu-curfew/109439437362384/?__tn__=HH-R",2020-03-23,NA,1271.767,2020-03-23,2,28,NA
"MWI","Malawi","Sub-Saharan Africa","Low income",1,"5426","Malawi declares a 21 day lockdown 19th april to midnight 9th May: With the exception of law enforcement officers and providers of essential goods and services, people will need to seek permission to leave the area around their homes. local markets will be allowed to open between 05:00 and 18:00 local time. There is a ban on buying alcohol.","https://www.facebook.com/pg/malawigovernment/posts/",2020-04-19,NA,19129.955,2020-04-19,2,17,NA
"MYS","Malaysia","East Asia & Pacific","Upper middle income",1,"1365","Movement Control Order (MCO) in place from March 18-31 in place under the Prevention and Control of Infectious Diseases Act 1988 and the Police Act 1967. Government and private offices apart from those providing essential services are closed. All shops other than businesses dealing with daily essentials – such as food and pharmaceutical stores are closed. The Chief Minister of Sarawak has announced that people will only be allowed to leave their homes in order to buy daily necessities, essential goods and services.","https://www.malaysia.gov.my/portal/index",2020-03-18,NA,32365.998,2020-03-18,2,673,NA
"NAM","Namibia","Sub-Saharan Africa","Upper middle income",1,"2422","People may only leave their homes if they are exempt to the lockdown rules (keyworkers), to buy essential items, for medical reasons, or for some exercise in groups of no more than 3. Breaking the lockdown will result in a spot fine or arrest.","https://www.garda.com/crisis24/news-alerts/326116/namibia-authorities-ban-entry-of-all-foreign-nationals-due-to-covid-19-march-24-update-1",2020-03-28,NA,2540.916,2020-03-28,0,8,NA
"NCL","New Caledonia","East Asia & Pacific","High income",4,"NA","NA","NA",NA,NA,285.491,NA,NA,NA,NA
"NER","Niger","Sub-Saharan Africa","Low income",1,"3230","A curfew is in effect from 7 p.m. to 6 a.m. in the city of Niamey.","https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/",2020-03-28,NA,24206.636,2020-03-28,1,10,NA
"NGA","Nigeria","Sub-Saharan Africa","Lower middle income",1,"3116","All people are told to remain at home and all but essential businessed are closed for a period of 14 days.","https://www.aljazeera.com/news/2020/03/nigeria-announces-lockdown-major-cities-curb-coronavirus-200330095100706.html",2020-03-30,NA,206139.587,2020-03-30,1,97,NA
"NIC","Nicaragua","Latin America & Caribbean","Lower middle income",3,"NA","NA","NA",NA,2020-04-14,6624.554,2020-04-14,1,9,NA
"NLD","Netherlands","Europe & Central Asia","High income",1,"2146","Gatherings of 3 or more people that do not keep a 1.5 meter distance are forbidden. This does not apply to children or to people in the same household, such as families.","https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus",2020-03-23,NA,17134.873,2020-03-23,179,4204,23.4860335195531
"NOR","Norway","Europe & Central Asia","High income",3,"NA","NA","NA",NA,2020-04-08,5421.242,2020-04-08,69,5863,84.9710144927536
"NPL","Nepal","South Asia","Low income",1,"2599","the Nepal government decided to lockdown the whole country from 24 March at 6AM for one week till 31 March 6AM. This would be a much stricter stay-at-home order that would bring all movement to a halt and also close all government offices, businesses and shops.","https://www.nepalitimes.com/banner/nepal-goes-into-lockdown-for-a-week/",2020-03-24,NA,29136.808,2020-03-24,0,2,NA
"NRU","Nauru","East Asia & Pacific","Upper middle income",3,"NA","NA","NA",NA,2020-04-09,NA,NA,NA,NA,NA
"NZL","New Zealand","East Asia & Pacific","High income",1,"1491","At 11.59pm on Wednesday 25th March, New Zealand will go into full lockdown for 4 weeks as we move into Covid-19 alert level 4. New Zealanders who are outside of essential services must stay at home and stop all interactions with others outside of those in your households.","https://covid19.govt.nz/government-actions/covid-19-alert-level/",2020-03-25,NA,4822.233,2020-03-25,0,189,NA
"OMN","Oman","Middle East & North Africa","High income",3,"NA","NA","NA",NA,2020-04-06,5106.622,2020-04-06,2,298,NA
"PAK","Pakistan","South Asia","Lower middle income",3,"NA","NA","NA",NA,2020-03-20,220892.331,2020-03-20,2,478,NA
"PAN","Panama","Latin America & Caribbean","High income",1,"1205","nationwide curfew from 9:00 p.m. to 5:00 a.m.  There are some exemptions:  public services, hospitals, airports/ports, pharmacies, gas stations, supermarkets, food delivery services, the energy sector, and emergency services, among others","https://pa.usembassy.gov/health-alert-u-s-embassy-panama-city-panama-march-19-2020/",2020-03-18,NA,4314.768,2020-03-18,1,86,NA
"PER","Peru","Latin America & Caribbean","Upper middle income",1,"4578","National curfew from from 6:00 p.m. – 5:00 a.m. for most of Peru (including Lima and Cusco).","https://pe.usembassy.gov/covid-19-information/",2020-03-26,NA,32971.846,2020-03-26,8,558,69.75
"PHL","Philippines","East Asia & Pacific","Lower middle income",1,"2191","Many local government units (including in Metro Manila) have announced overnight curfews (most commonly between 2000 and 0500)","https://abcnews.go.com/International/wireStory/philippines-declares-night-curfew-manila-fight-virus-69595134",2020-03-14,NA,109581.085,2020-03-14,6,64,10.6666666666667
"PLW","Palau","East Asia & Pacific","High income",3,"NA","NA","NA",NA,2020-04-09,NA,NA,NA,NA,NA
"PNG","Papua New Guinea","East Asia & Pacific","Lower middle income",1,"1502","14 day national lockdown starting tomorrow March 24","https://www.rnz.co.nz/news/pacific/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens",2020-03-24,NA,8947.027,2020-03-24,0,1,NA
"POL","Poland","Europe & Central Asia","High income",1,"2315","People are not allowed to leave their home, apart for essential matters, including any kind of work","https://www.gov.pl/web/koronawirus/wprowadzamy-nowe-zasady-bezpieczenstwa-w-zwiazku-z-koronawirusem",2020-03-24,NA,37846.605,2020-03-24,8,749,93.625
"PRI","Puerto Rico","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,2860.84,NA,NA,NA,NA
"PRK","Korea, Dem. People’s Rep.","East Asia & Pacific","Low income",3,"NA","NA","NA",NA,2020-03-21,25778.815,NA,NA,NA,NA
"PRT","Portugal","Europe & Central Asia","High income",1,"1096","From March 22, for at least 15 days, all non-essential businesses will be closed to customers, although restaurants will be allowed to provide takeaway services. Supermarkets, pharmacies, bakeries, petrol stations and banks will remain open but must implement capacity restrictions.","https://jornaleconomico.sapo.pt/en/noticias/oficial-estes-sao-os-estabelecimentos-que-vao-estar-abertos-e-fechados-durante-o-estado-de-emergencia-563711",2020-03-22,NA,10196.707,2020-03-22,12,1280,106.666666666667
"PRY","Paraguay","Latin America & Caribbean","Upper middle income",1,"1978","Curfew instaured from 8pm to 4am.","https://www.mspbs.gov.py/que-esta-haciendo-el-ministerio-de-salud-covid19.html",2020-03-17,NA,7132.53,2020-03-17,0,9,NA
"PSE","State of Palestine","Middle East & North Africa","Lower middle income",1,"4057","22 March until 5 April a ban on all non-essential movements outside one’s own accommodation. Key workers, including health workers, pharmacists, bakers, public administration staff and those working in grocery stores are exempt from this ban.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-22,NA,5101.416,2020-03-22,0,52,NA
"PYF","French Polynesia","East Asia & Pacific","High income",4,"NA","NA","NA",NA,NA,280.904,NA,NA,NA,NA
"QAT","Qatar","Middle East & North Africa","High income",3,"NA","NA","NA",NA,2020-03-27,2881.06,2020-03-27,0,549,NA
"ROU","Romania","Europe & Central Asia","Upper middle income",1,"1398","No more than 3 people who do not live together, all non essentials, only leave house for necessary goods/services, and short trips outdoors for physcial activity etc.","https://stirioficiale.ro/informatii/ordonanta-militara-nr-2-din-21-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19",2020-03-22,NA,19237.682,2020-03-22,0,367,NA
"RUS","Russia","Europe & Central Asia","Upper middle income",1,"3124","Moscow: From 30 March, all people (regardless of age) in the capital Moscow and the rest of the Moscow Oblast should self-isolate at home until further notice. All non-essential movement in the city will be banned although entering and exiting Moscow will still be possible, and walking pets at a distance may not exceed 100 meters from one’s residence","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-30,NA,145934.46,2020-03-30,8,1534,191.75
"RWA","Rwanda","Sub-Saharan Africa","Low income",1,"1828","Announcement of lockdown for the country of Rwanda for a period of 2 weeks. Preventative measures for the next 2 weeks: non-essential movement outside the home is not permitted, all employees shall work from home except those providing essential services, non-essential shops and markets are closed, all bars are closed, and motos/restaurants/cafes may only provide take-away/delivery services.","https://www.rbc.gov.rw/fileadmin/user_upload/guide/announcement%20on%20enhanced%20COVID-19%20prevention%20measures.pdf",2020-03-21,NA,12952.209,2020-03-21,0,17,NA
"SAU","Saudi Arabia","Middle East & North Africa","High income",1,"2355","21 days. A night curfew between 19.00 and 06.00 will be imposed for 21 days starting from 23 March. BUT curfew will begin at 15.00 instead of 19.00 in the three cities of Riyadh, Mecca and Medina. **exceptions: apply to those in vital public and private sectors such as security, military and media. Those who work in health services are also excluded from the curfew.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-23,NA,34813.867,2020-03-23,0,511,NA
"SDN","Sudan","Sub-Saharan Africa","Lower middle income",1,"2994","Curfew of 8pm - 6am.","https://www.dabangasudan.org/en/all-news/article/coronavirus-sudan-needs-a-total-lock-down-for-two-weeks",2020-03-24,NA,43849.269,2020-03-24,1,2,NA
"SEN","Senegal","Sub-Saharan Africa","Lower middle income",3,"NA","NA","NA",NA,2020-04-09,16743.93,2020-04-09,2,244,NA
"SGP","Singapore","East Asia & Pacific","High income",2,"NA","NA","NA",NA,NA,5850.343,2020-04-15,10,3252,325.2
"SLB","Solomon Islands","East Asia & Pacific","Lower middle income",1,"5448","curfew exercise in the capital Honiara from 8pm to 5pm Friday night and Saturday as part of preparations for a potential outbreak of Covid-19. During that time, residents of Honiara city are called on to remain in their homes. Shops and businesses are also not expected to open during the curfew hours.","https://www.rnz.co.nz/international/pacific-news/413943/solomons-pm-bans-small-watercraft-crossings-at-border-with-png",2020-04-10,NA,686.878,NA,NA,NA,NA
"SLE","Sierra Leone","Sub-Saharan Africa","Low income",1,"4306","Sierra Leone announces 72 hour lockdown 5th, 6th, 7th of april are dyas where everyone is to stay at home.","https://www.africanews.com/2020/04/02/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport//",2020-04-05,NA,7976.985,2020-04-05,0,4,NA
"SLV","El Salvador","Latin America & Caribbean","Lower middle income",1,"3625","From March 22, the Government of El Salvador issued a mandatory 30-day home quarantine period for individuals in #ElSalvador. Some exceptions to the quarantine include medical & police services, journalists, food delivery, grocery shopping (1 person per family), and banking.","https://sv.usembassy.gov/covid-19-information/",2020-03-22,NA,6486.201,2020-03-22,0,3,NA
"SMR","San Marino","Europe & Central Asia","High income",3,"NA","NA","NA",NA,2020-03-20,NA,2020-03-20,14,126,9
"SOM","Somalia","Sub-Saharan Africa","Low income",1,"5412","Government of Somalia imposes night curfew in Moghadishu starting at 8pm April 15, from 8:00pm and 5:00am local time. No date has been set for lifting the curfew. It will not affect shops that are selling dry foods, hospitals and pharmacies, officials say.","https://www.voanews.com/science-health/coronavirus-outbreak/somalia-imposes-nighttime-curfew",2020-04-15,NA,15893.219,2020-04-15,2,60,NA
"SRB","Serbia","Europe & Central Asia","Upper middle income",1,"3961","state of emergency with widespread travel restrictions and curfews.","https://rs.usembassy.gov/covid-19-information/",2020-04-03,NA,8737.37,2020-04-03,31,1171,37.7741935483871
"SSD","South Sudan","Sub-Saharan Africa","Low income",1,"5413","South sudan has curfew from 8pm to 6am.","https://www.osac.gov/Content/Report/10c44b03-fdf8-4249-856a-1848aca55939",2020-03-25,NA,11193.729,NA,NA,NA,NA
"STP","Sao Tome and Principe","Sub-Saharan Africa","Lower middle income",3,"NA","NA","NA",NA,2020-04-02,219.161,NA,NA,NA,NA
"SUR","Suriname","Latin America & Caribbean","Upper middle income",1,"3582","the authorities introduced a curfew between 8 p.m. and 6 a.m. in effect until April 12. This measure is renewable.","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/suriname/",2020-03-29,NA,586.634,2020-03-29,0,8,NA
"SVK","Slovakia","Europe & Central Asia","High income",3,"NA","NA","NA",NA,2020-04-09,5459.643,2020-04-09,2,682,NA
"SVN","Slovenia","Europe & Central Asia","High income",3,"NA","NA","NA",NA,2020-04-04,2078.932,2020-04-04,20,934,46.7
"SWE","Sweden","Europe & Central Asia","High income",3,"NA","NA","NA",NA,2020-04-18,10099.27,2020-04-18,1400,13216,9.44
"SWZ","Eswatini","Sub-Saharan Africa","Lower middle income",1,"2692","Partial lockdown to be enforced for 20 days.","https://twitter.com/EswatiniGovern1/status/1243203567550377986/photo/1",2020-03-27,NA,1160.164,2020-03-27,0,6,NA
"SXM","Sint Maarten (Dutch part)","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"SYC","Seychelles","Sub-Saharan Africa","High income",1,"4704","all non- essentials until 8. April 2020. police deployed","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-04-08,NA,98.34,2020-04-08,0,10,NA
"SYR","Syria","Middle East & North Africa","Low income",1,"4488","Curfew from 1800 to 0600","https://acaps.sharepoint.com/:w:/r/sites/covid-19response/_layouts/15/Doc.aspx?sourcedoc=%7B4BD7DA89-4077-44C8-B6C3-75F03E1E90C8%7D&file=20200331%20Global-%20States%20of%20emergency.docx&action=default&mobileredirect=true",2020-03-25,NA,17500.657,2020-03-25,0,1,NA
"TCA","Turks and Caicos Islands","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"TCD","Chad","Sub-Saharan Africa","Low income",1,"4701","Extension of the mandatory curfew between 7pm and 6am to the cities of Mandella, Logone-Gana and N'Djamena-Farah.","https://www.facebook.com/sggtchad/photos/a.1413843668653340/2961219870582371/?type=3&theater",2020-04-03,NA,16425.859,2020-04-03,0,7,NA
"TGO","Togo","Sub-Saharan Africa","Low income",1,"4586","National curfew from 8pm to 6am.","https://covid19.gouv.tg/",2020-04-02,NA,8278.737,2020-04-02,2,36,NA
"THA","Thailand","East Asia & Pacific","Upper middle income",1,"4715","From 3 April a daily curfew is in place nationwide from 22.00 to 04.00. Essential services are exempted from this restriction.","https://th.usembassy.gov/covid-19-information/",2020-04-03,NA,69799.978,2020-04-03,15,1875,125
"TJK","Tajikistan","Europe & Central Asia","Low income",3,"NA","NA","NA",NA,2020-04-05,9537.642,NA,NA,NA,NA
"TKM","Turkmenistan","Europe & Central Asia","Upper middle income",3,"NA","NA","NA",NA,2020-04-01,6031.187,NA,NA,NA,NA
"TLS","Timor-Leste","East Asia & Pacific","Lower middle income",4,"NA","NA","NA",NA,NA,1318.442,NA,NA,NA,NA
"TON","Tonga","East Asia & Pacific","Upper middle income",1,"2614","Under the lockdown, night-time curfews will be in place from 8pm to 6am and will be enforced by the Police, the Armed Forces and other authorised officers.","https://www.rnz.co.nz/international/pacific-news/412708/tonga-declares-lockdown-starting-this-weekend",2020-03-26,NA,105.697,NA,NA,NA,NA
"TTO","Trinidad and Tobago","Latin America & Caribbean","High income",3,"NA","NA","NA",NA,2020-03-03,1399.491,NA,NA,NA,NA
"TUN","Tunisia","Middle East & North Africa","Lower middle income",3,"NA","NA","NA",NA,2020-03-18,11818.618,2020-03-18,0,24,NA
"TUR","Turkey","Europe & Central Asia","Upper middle income",1,"5225","A two-day curfew has been renewed on  31 of the country’s 81 provinces, namely Adana, Ankara, Antalya, Aydin, Balikesir, Bursa, Denizli, Diyarbakir, Erzurum, Eskisehir, Gaziantep, Hatay, Istanbul, Izmir, Kahramanmaras, Kayseri, Kocaeli, Konya, Malatya, Manisa, Mardin, Mersin, Mugla, Ordu, Sakarya, Samsun, Sanliurfa, Tekirdag, Trabzon, Van and Zonguldak. This affects the capital Ankara and the commercial capital Istanbul (Istanbul province). The curfew will operate from 00.00, 18 April - 00.00, 20 April.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-18,NA,84339.067,2020-03-18,0,98,NA
"TUV","Tuvalu","East Asia & Pacific","Upper middle income",1,"4384","All public gatherings of 10 or more people are banned.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening",2020-03-26,NA,NA,NA,NA,NA,NA
"TZA","Tanzania","Sub-Saharan Africa","Low income",3,"NA","NA","NA",NA,2020-04-11,59734.213,2020-04-11,3,32,10.6666666666667
"UGA","Uganda","Sub-Saharan Africa","Low income",1,"3316","14 day lockdown announced. All people to people movement by everybody including those using their private vehicles, bodabodas, tuk-tuks, etc is prohibited.","https://www.aa.com.tr/en/africa/uganda-declares-curfew-to-curb-spread-of-covid-19/1785775",2020-03-30,NA,45741,2020-03-30,0,33,NA
"UKR","Ukraine","Europe & Central Asia","Lower middle income",1,"3986","Only pharmacies, grocery stores should remain open: Ukraine's health chief on minimizing Covid-19 spread","https://www.unian.info/society/10915721-only-pharmacies-grocery-stores-should-remain-open-ukraine-s-health-chief-on-minimizing-covid-19-spread.html",2020-03-15,NA,43733.759,2020-03-15,0,3,NA
"URY","Uruguay","Latin America & Caribbean","High income",3,"NA","NA","NA",NA,2020-04-13,3473.727,2020-04-13,8,465,58.125
"USA","United States","North America","High income",2,"NA","NA","NA",NA,NA,331002.647,2020-03-05,11,159,14.4545454545455
"UZB","Uzbekistan","Europe & Central Asia","Lower middle income",3,"NA","NA","NA",NA,2020-03-02,33469.199,NA,NA,NA,NA
"VCT","St. Vincent and the Grenadines","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-04-01,110.947,2020-04-01,0,1,NA
"VEN","Venezuela","Latin America & Caribbean","Upper middle income",1,"770","Partial quarantine expanded to entire country.","https://www.reuters.com/article/us-health-coronavirus-venezuela/venezuelans-say-they-need-to-go-out-to-work-despite-coronavirus-quarantine-idUSKBN2132FD",2020-03-16,NA,28435.943,2020-03-16,0,15,NA
"VGB","British Virgin Islands","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
