Country_or_region,GDP2018,Income,region,income_group,Matrix,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_85,pop_85_90,pop_90_95,pop_95_100,pop_100+
Maldives,15307.72194,UMIC,South Asia,Upper middle income,14,35.579,37.242,33.125,26.313,51.053,88.631,82.881,54.726,36.768,27.881,20.03,15.286,11.607,6.557,4.381,4.085,2.754,1.217,0.341,0.074,0.011
Mali,2316.6552,LIC,Sub-Saharan Africa,Low income,15,3605.514,3154.805,2759.052,2250.41,1775.973,1427.845,1167.473,992.982,827.089,658.872,489.221,359.898,280.058,221.233,141.233,89.85,36.676,10.714,1.791,0.138,0.007
Malta,42581.09786,HIC,Middle East & North Africa,High income,7,21.674,21.428,20.365,20.562,25.05,30.162,32.927,32.426,31.153,28.293,25.036,28.176,30.131,27.549,27.97,17.196,11.642,6.519,2.553,0.649,0.078
Martinique,NA,UMIC*,NA,NA,13,18.353,17.6,22.799,24.323,24.395,16.977,16.928,17.174,18.747,25.44,30.456,32.339,28.311,24.156,19.568,14.104,11.245,7.638,3.361,1.116,0.235
Mauritania,4150.965246,LMIC,Sub-Saharan Africa,Lower middle income,15,689.874,617.954,537.394,470.161,416.127,371.775,334.301,285.478,234.615,188.017,149.658,117.492,89.051,62.022,41.686,25.5,12.755,4.616,1.042,0.133,0.009
Mauritius,23750.98804,UMIC,Sub-Saharan Africa,Upper middle income,15,64.048,68.838,80.576,94.588,94.111,102.698,88.439,86.669,99.352,82.738,85.134,90.215,75.135,62.855,44.574,24.639,15.427,7.907,2.924,0.781,0.119
Mayotte,NA,UMIC*,NA,NA,15,36.078,35.396,34.932,29.634,24.882,18.745,17.143,15.843,14.988,12.361,9.196,6.968,5.276,4.096,2.925,2.073,1.247,0.66,0.27,0.083,0.017
Mexico,19844.64567,UMIC,Latin America & Caribbean,Upper middle income,13,10958.742,11210.511,11140.87,11209.593,10939.819,10795.774,9789.88,9090.15,8531.964,8015.794,6924.917,5833.054,4669.454,3595.499,2466.707,1722.006,1058.504,609.984,275.132,81.437,12.962
Micronesia (Fed. States of),NA,LMIC,East Asia & Pacific,Lower middle income,12,12.265,11.783,11.829,11.47,11.648,10.7,8.263,6.825,5.978,5.451,5.111,4.674,3.974,2.758,1.403,0.526,0.253,0.09,0.018,0.002,0
Mongolia,13799.90485,LMIC,East Asia & Pacific,Lower middle income,12,375.46,362.015,281.841,218.602,228.499,271.517,309.399,254.881,222.852,200.194,168.357,145.695,97.609,60.753,35.624,24.265,13.237,5.717,1.506,0.246,0.023
Montenegro,20689.98675,UMIC,Europe & Central Asia,Upper middle income,7,36.906,37.037,39.389,39.148,41.268,42.928,42.561,45.787,42.874,41.048,38.143,42.177,39.754,37.191,24.534,15.904,13.154,6.343,1.696,0.208,0.012
Morocco,8586.6387,LMIC,Middle East & North Africa,Lower middle income,12,3325.038,3427.577,3127.603,2969.593,2874.344,3008.934,2862.559,2743.797,2360.473,2091.959,1924.565,1819.219,1567.238,1167.781,682.105,514.973,310.457,110.917,19.893,1.472,0.061
Mozambique,1459.698413,LIC,Sub-Saharan Africa,Low income,15,5156.628,4561.154,4054.236,3541.222,2912.557,2381.938,1961.629,1627.11,1287.698,1001.59,782.62,617.547,475.03,368.632,262.22,158.625,76.714,24.3,3.738,0.237,0.01
Myanmar,6674.028647,LMIC,East Asia & Pacific,Lower middle income,12,4508.556,4512.705,4845.4,5071.244,4759.011,4404.07,4127.737,3945.262,3759.985,3459.985,3051.348,2521.871,2049.578,1554.386,891.296,531.734,279.501,108.124,24.686,3.096,0.219
Namibia,11101.82628,UMIC,Sub-Saharan Africa,Upper middle income,15,336.078,318.448,281.578,244.856,244.311,228.398,197.388,159.459,130.73,106.827,82.468,67.866,51.391,36.07,24.28,16.851,9.349,3.642,0.85,0.074,0.002
Nepal,3089.556352,LIC,South Asia,Low income,14,2706.773,2756.21,2931.249,3188.881,3221.524,2664.85,2069.262,1723.48,1597.026,1448.627,1263.391,1044.309,823.091,664.987,473.733,337.802,152.514,54.15,13.263,1.588,0.098
Netherlands,56328.94114,HIC,Europe & Central Asia,High income,7,858.9,893.863,937.7,1015.992,1020.747,1076.733,1077.138,1020.393,1004.922,1146.514,1273.712,1250.36,1124.957,1004.544,952.449,639.075,438.424,261.756,106.695,27.036,2.963
New Caledonia,0,HIC,East Asia & Pacific,High income,12,19.798,21.516,21.807,21.396,23.349,19.843,20.797,20.694,19.726,21.097,18.244,16.707,12.832,9.963,8.094,5.209,2.828,1.133,0.379,0.07,0.009
New Zealand,41005.42087,HIC,East Asia & Pacific,High income,7,301.256,314.028,321.707,303.246,324.477,346.758,324.444,294.622,278.415,313.459,311.981,316.71,281.813,240.499,213.606,148.226,97.32,55.323,27.178,6.473,0.692
Nicaragua,5533.551064,LMIC,Latin America & Caribbean,Lower middle income,13,656.942,660.204,637.14,603.021,584.71,581.29,549.059,506.393,421.195,341.842,273.901,233.419,199.33,149.422,83.411,67.091,42.806,21.955,8.657,2.352,0.414
Niger,1063.421841,LIC,Sub-Saharan Africa,Low income,15,4787.474,3970.552,3265.89,2635.235,2086.862,1630.495,1265.908,993.107,838.025,690.669,561.35,485.5,367.144,277.605,189.654,106.305,41.928,11.144,1.661,0.124,0.004
Nigeria,5990.850432,LMIC,Sub-Saharan Africa,Lower middle income,15,33938.795,29913.646,25792.743,21910.447,18068.574,15108.845,13044.512,11323.538,9458.643,7578.818,5943.469,4756.702,3656.623,2601.903,1716.912,906.791,333.348,75.438,9.171,0.639,0.03
North Macedonia,16358.66205,UMIC,Europe & Central Asia,Upper middle income,7,111.883,115.669,112.251,121.2,130.294,152.689,162.011,163.966,154.54,145.361,145.073,137.759,129.065,115.581,79.175,54.708,34.316,14.237,3.266,0.324,0.012
Norway,65510.58527,HIC,Europe & Central Asia,High income,7,301.748,312.575,321.226,321.805,353.269,373.114,376.835,361.889,347.418,377.512,377.386,335.122,311.183,274.973,266.78,179.668,113.269,70.818,33.614,9.958,1.08
Oman,41859.93448,HIC,Middle East & North Africa,High income,12,453.666,378.907,315.751,214.553,329.057,756.486,868.013,571.807,400.326,284.643,181.717,133.883,89.584,53.203,28.263,24.795,12.881,5.639,2.459,0.774,0.215
Pakistan,5567.055608,LMIC,South Asia,Lower middle income,14,27962.852,25499.38,23451.518,21975.918,20772.274,19158.088,16818.327,13997.696,11615.522,9633.225,8230.713,6891.9,5279.09,3623.324,2705.744,1853.185,961.863,364.849,85.303,10.72,0.84
Panama,25553.69671,HIC,Latin America & Caribbean,High income,13,389.313,384.466,369.411,357.198,349.063,329.192,317.131,301.464,288.124,268.271,234.644,198.335,159.727,122.905,91.619,66.189,44.016,25.732,12.41,4.453,1.105
Papua New Guinea,4336.244657,LMIC,East Asia & Pacific,Lower middle income,12,1107.184,1043.164,994.174,923.709,836.809,717.375,636.511,584.026,510.591,427.793,348.733,280.386,217.02,155.066,89.797,46.858,20.258,6.242,1.244,0.084,0.003
Paraguay,13599.92656,UMIC,Latin America & Caribbean,Upper middle income,13,701.092,682.819,676.926,659.352,677.788,643.255,595.068,514.058,406.934,320.704,290.815,257.549,220.376,181.786,127.51,86.215,53.863,24.197,9.67,2.232,0.321
Peru,14418.07067,UMIC,Latin America & Caribbean,Upper middle income,13,2833.265,2612.135,2696.055,2438.549,2608.093,2767.692,2693.379,2537.783,2300.83,2045.834,1792.13,1521.749,1247.472,1029.167,732.079,523.33,345.376,174.546,58.589,12.307,1.486
Philippines,8951.085654,LMIC,East Asia & Pacific,Lower middle income,12,10616.342,11397.952,10906.801,10462.894,10104.334,9479.78,8247.197,7254.73,6551.963,5759.264,5116.997,4249.923,3393.186,2485.685,1661.429,978.19,580.536,241.033,76.064,14.988,1.797
Poland,31336.6035,HIC,Europe & Central Asia,High income,5,1884.914,1899.957,1974.514,1734.622,1965.983,2465.575,2825.848,3179.075,2958.637,2576.804,2238.497,2324.671,2725.26,2448.887,1855.853,1044.673,884.06,557.545,239.201,57.005,5.024
Portugal,33415.4379,HIC,Europe & Central Asia,High income,7,400.652,440.424,489.999,525.167,539.834,533.864,560.997,654.312,765.451,810.46,743.389,737.618,672.519,621.305,566.943,451.371,352.212,224.13,84.924,19.175,1.961
Puerto Rico,39540.58693,HIC,Latin America & Caribbean,High income,13,84.291,156.033,210.323,184.343,143.483,145.27,156.591,174.926,196.071,203.173,211.742,202.442,196.316,164.709,157.59,116.091,78.201,47.361,22.265,7.959,1.66
Qatar,126898.4259,HIC,Middle East & North Africa,High income,12,135.162,135.374,122.418,105.982,237.443,479.928,495.152,351.028,254.998,206.802,155.604,98.557,53.949,27.847,12.864,3.861,2.294,1.05,0.516,0.142,0.089
"Korea, Rep.",40111.77576,HIC,East Asia & Pacific,High income,7,1897.011,2256.802,2276.782,2476.476,3216.244,3500.05,3282.425,3797.414,3924.934,4293.91,4315.516,4161.183,3774.566,2679.14,1998.091,1562.555,1083.829,540.103,184.909,42.896,4.347
Moldova,7271.641919,LMIC,Europe & Central Asia,Lower middle income,7,202.52,221.538,216.87,202.416,241.118,329.715,417.989,355.887,301.677,261.131,234.464,286.551,258.125,230.164,105.415,79.574,53.265,25.712,8.463,1.292,0.077
Réunion,NA,UMIC*,NA,NA,13,64.839,67.553,67.994,70.868,63.842,54.43,49.114,50.337,57.479,59.847,65.357,60.058,49.683,40.874,27.831,19.703,13.273,7.558,3.251,1.288,0.129
Romania,28206.35705,UMIC,Europe & Central Asia,Upper middle income,7,939.606,965.441,1080.761,994.545,1009.877,1076.387,1396.156,1189.744,1523.497,1502.971,1526.148,1043.01,1289.96,1245.988,927.458,602.811,536.99,274.612,93.693,16.865,1.162
Russian Federation,27147.33358,UMIC,Europe & Central Asia,Upper middle income,7,9271.691,9350.916,8174.262,7081.775,6614.696,8993.089,12543.831,11924.724,10604.635,9770.682,8479.651,10418.015,10073.623,8427.746,5390.381,3159.337,3485.779,1389.639,668.338,102.243,9.407
Rwanda,2251.556388,LIC,Sub-Saharan Africa,Low income,15,1885.105,1675.918,1551.766,1354.029,1183.561,1027.482,978.578,833.976,609.132,460.962,354.419,374.028,259.237,185.917,109.464,65.353,25.694,15.602,1.683,0.296,0.007
St. Lucia,13881.37213,UMIC,Latin America & Caribbean,Upper middle income,13,10.826,10.986,11.152,13.183,15.87,16.946,14.292,14.155,12.886,12.631,12.357,11.018,8.417,6.138,4.88,3.477,2.405,1.24,0.58,0.157,0.033
St. Vincent and the Grenadines,12287.9755,UMIC,Latin America & Caribbean,Upper middle income,13,7.706,8.241,8.355,9.073,9.29,8.212,7.94,7.771,7.523,6.961,6.782,6.808,5.289,3.887,2.721,1.782,1.44,0.9,0.227,0.034,0.005
Samoa,6483.534228,UMIC,East Asia & Pacific,Upper middle income,12,26.99,24.133,22.684,19.314,16.572,14.723,11.657,10.355,9.881,9.679,8.967,7.503,5.865,4.095,2.742,1.838,0.938,0.34,0.122,0.012,0
Sao Tome and Principe,3418.58693,LMIC,Sub-Saharan Africa,Lower middle income,15,31.754,30.657,29.106,25.003,18.677,14.948,14.083,12.548,11.052,7.628,7.361,5.419,4.332,2.75,1.744,1.02,0.724,0.257,0.087,0.01,0.001
Saudi Arabia,55335.67959,HIC,Middle East & North Africa,High income,12,2978.337,2977.879,2641.499,2218.782,2333.131,3021.629,3437.937,3542.426,3577.563,2831.226,1891.746,1324.826,818.937,554.584,293.041,200.815,106.173,45.013,14.924,3.088,0.311
Senegal,3782.538613,LMIC,Sub-Saharan Africa,Lower middle income,15,2615.341,2417.24,2098.919,1764.783,1519.042,1304.492,1110.693,940.599,741.966,589.862,467.265,367.435,285.866,219.898,145.623,93.559,45.112,13.764,2.28,0.185,0.006
Serbia,17434.91613,UMIC,Europe & Central Asia,Upper middle income,7,419.057,436.763,486.863,512.868,529.169,573.297,617.923,596.961,621.552,608.342,570.649,550.859,547.854,594.617,464.141,265.541,204.461,105.409,28.003,2.934,0.107
Seychelles,30557.07572,HIC,Sub-Saharan Africa,High income,15,7.967,7.966,7.438,6.428,6.363,7.068,7.105,7.381,7.436,7.437,6.819,6.158,4.841,3.068,1.645,1.56,0.928,0.493,0.198,0.036,0.005
Sierra Leone,1601.974029,LIC,Sub-Saharan Africa,Low income,15,1158.651,1067.234,992.319,874.877,754.021,651.493,553.893,463.157,373.119,299.775,236.393,182.74,135.799,98.226,68.339,40.47,18.574,6.264,1.426,0.198,0.017
Singapore,101531.6302,HIC,East Asia & Pacific,High income,10,258.176,220.861,240.625,265.169,397.537,435.521,434.677,461.938,473.271,491.602,466.411,479.811,443.631,355.694,190.228,99.406,73.381,40.499,16.981,4.173,0.751
Slovakia,33736.40094,HIC,Europe & Central Asia,High income,7,283.691,282.9,282.577,262.918,290.705,365.08,410.494,437.109,457.808,403.592,346.849,362.368,361.838,333.373,236.821,161.89,100.449,56.655,18.906,3.456,0.164
Slovenia,38048.78466,HIC,Europe & Central Asia,High income,7,101.272,108.899,104.506,91.87,96.316,109.178,133.863,149.786,158.373,146.953,151.312,149.89,145.593,139.348,97.508,79.987,59.368,37.278,14.426,3.015,0.191
Solomon Islands,2422.819533,LMIC,East Asia & Pacific,Lower middle income,12,103.156,93.014,78.791,70.034,60.995,50.835,42.609,39.441,37.09,31.58,22.806,17.889,13.425,9.553,7.157,4.836,2.265,1.083,0.268,0.047,0.004
Somalia,0,LIC,Sub-Saharan Africa,Low income,15,2826.505,2388.859,2119.343,1818.247,1534.275,1159.601,868.582,665.822,561.005,492.889,407.292,326.68,262.875,199.915,134.577,75.53,36.029,11.768,2.949,0.437,0.039
South Africa,13686.88236,UMIC,Sub-Saharan Africa,Upper middle income,12,5764.945,5820.66,5495.963,4913.211,4924.091,5217.398,5374.11,4781.215,3810.04,3233.235,2692.132,2219.4,1794.715,1369.726,895.217,580.838,298.42,103.954,18.094,1.274,0.052
South Sudan,0,LIC,Sub-Saharan Africa,Low income,15,1707.392,1538.29,1380.431,1201.47,1062.165,900.787,744.174,589.979,491.926,404.911,332.202,263.323,201.377,143.56,112.23,70.396,33.934,12.064,2.729,0.363,0.026
Spain,39715.43906,HIC,Europe & Central Asia,High income,7,1990.096,2244.391,2497.954,2238.123,2255.909,2361.69,2618.972,3283.021,4000.876,3937.623,3632.242,3414.085,2939.311,2401.343,2204.15,1811.156,1288.336,1039.117,471.255,112.05,13.083
Sri Lanka,13473.66309,UMIC,South Asia,Upper middle income,14,1660.41,1689.625,1721.661,1664.559,1495.651,1406.206,1352.386,1467.635,1524.435,1356.67,1317.276,1237.542,1113.872,899.324,727.431,418.906,208.11,106.461,37.893,6.622,0.575
State of Palestine,NA,LMIC,Middle East & North Africa,Lower middle income,12,692.913,671.615,592.433,517.06,498.642,467.083,369.818,294.478,247.141,200.999,166.831,130.487,87.852,64.001,48.34,29.495,15.43,5.396,1.216,0.174,0.012
Sudan,4759.281882,LMIC,Sub-Saharan Africa,Lower middle income,15,6339.078,5789.728,5322.924,4800.733,4159.388,3467.77,2799.335,2403.91,2026.888,1700.431,1424.556,1128.395,875.056,660.904,455.13,277.921,142.873,55.962,15.291,2.714,0.282
Suriname,15510.46464,UMIC,Latin America & Caribbean,Upper middle income,13,52.186,52.645,51.594,50.637,48.736,47.036,42.969,39.817,35.203,37.521,32.863,31.965,21.601,15.327,11.343,7.342,4.711,2.178,0.771,0.166,0.023
Sweden,53208.88436,HIC,Europe & Central Asia,High income,7,601.45,592.501,585.901,541.226,543.786,733.144,692.949,627.35,609.202,654.921,679.405,617.242,567.133,526.735,564.149,430.095,269.777,161.722,76.911,21.401,2.27
Switzerland,68060.94105,HIC,Europe & Central Asia,High income,7,451.829,433.116,409.669,425.198,484.186,555.543,597.572,621.652,570.855,595.733,676.756,643.866,535.823,441.612,421.519,330.474,228.8,144.798,67.468,16.454,1.695
Syrian Arab Republic,0,LIC,Middle East & North Africa,Low income,15,1919.096,1716.807,1749.863,1575.262,1603.5,1496.483,1520.848,1386.345,1095.036,833.865,689.438,595.908,465.146,357.219,209.32,146.227,84.923,41.886,11.541,1.78,0.164
Tajikistan,3449.779316,LIC,Europe & Central Asia,Low income,7,1356.75,1220.86,977.078,811.289,833.803,814.719,786.165,604.166,472.633,409.766,372.286,328.604,246.25,141.64,77.992,39.614,29.793,10.476,3.39,0.351,0.017
Thailand,19051.33338,UMIC,East Asia & Pacific,Upper middle income,12,3596.052,3843.78,4113.805,4378.506,4807.904,4822.404,4466.694,4763.033,5308.84,5605.417,5598.953,5082.441,4367.653,3256.703,2282.338,1584.23,1070.912,563.683,225.198,52.666,8.766
Timor-Leste,7658.434996,LMIC,East Asia & Pacific,Lower middle income,12,178.084,153.794,153.73,152.986,129.785,115.123,89.86,69.167,46.63,54.158,48.162,40.311,30.184,19.96,17.932,10.982,5.447,1.695,0.401,0.048,0.003
Togo,1773.896632,LIC,Sub-Saharan Africa,Low income,15,1220.06,1120.121,1023.991,891.005,743.733,631.528,567.255,497.302,414.564,329.953,254.832,195.882,148.012,107.925,71.771,39.722,16.179,4.241,0.616,0.045,0
Tonga,6419.561778,UMIC,East Asia & Pacific,Upper middle income,12,12.201,12.438,12.103,11.419,9.698,7.442,6.11,6.073,5.326,4.964,4.856,3.845,2.963,2.34,1.645,1.146,0.718,0.308,0.092,0.01,0
Trinidad and Tobago,32014.78313,HIC,Latin America & Caribbean,High income,13,88.366,96.085,96.32,89.49,85.696,97.306,116.833,126.028,101.245,90.197,82.715,92.347,75.717,60.176,43.96,29.694,16.45,7.361,2.768,0.649,0.088
Tunisia,12502.82019,LMIC,Middle East & North Africa,Lower middle income,15,1004.154,1013.605,853.066,786.872,821.287,904.059,928.189,985.875,846.845,725.626,711.339,650.167,538.872,423.722,250.363,173.743,119.672,61.5,16.314,3.098,0.25
Turkey,28068.85941,UMIC,Europe & Central Asia,Upper middle income,7,6567.148,6852.122,6773.238,6821.911,6770.019,6404.144,6394.98,6379.751,6008.074,5438.505,4755.468,4152.955,3446.2,2746.192,1970.496,1383.083,877.363,453.346,124.984,17.811,1.277
Turkmenistan,19304.10131,UMIC,Europe & Central Asia,Upper middle income,7,661.065,671.865,524.183,484.56,461.537,548.254,525.197,432.688,378.455,319.366,283.597,251.862,200.994,133.45,68.644,34.814,32.508,12.789,4.582,0.705,0.072
Uganda,2038.073892,LIC,Sub-Saharan Africa,Low income,15,7796.039,7059.913,6192.176,5257.248,4328.181,3544.494,2848.524,2252.576,1765.404,1368,1065.593,786.842,567.734,406.591,261.489,150.509,63.645,22.445,3.394,0.197,0.006
Ukraine,9233.150469,LMIC,Europe & Central Asia,Lower middle income,7,2113.85,2475.661,2403.743,1979.774,2146.047,2752.444,3584.834,3624.124,3337.191,3069.213,2802.958,3103.779,2927.644,2612.212,1769.077,1214.353,1187.162,412.197,188.148,27.429,1.919
United Arab Emirates,75075.25741,HIC,Middle East & North Africa,High income,12,499.138,512.575,453.459,389.532,715.753,1433.59,1795.746,1373.568,916.021,692.088,456.601,341.312,185.966,56.741,36.26,19.624,7.159,4.008,0.956,0.272,0.031
United Kingdom,45973.5735,HIC,Europe & Central Asia,High income,1,3924.49,4119.566,3956.34,3686.133,4074.64,4484.067,4706.828,4588.196,4308.13,4296.121,4634.54,4538.925,3905.016,3381.761,3388.488,2442.147,1736.567,1077.555,490.577,130.083,15.834
Tanzania,3227.034211,LIC,Sub-Saharan Africa,Low income,15,9738.602,8623.714,7654.58,6434.462,5262.555,4583.694,3902.89,3259.038,2684.793,2135.934,1660.783,1265.852,948.189,674.611,472.213,269.023,121.856,36.082,5.088,0.247,0.007
United States,62794.58565,HIC,North America,High income,1,19676.332,20045.152,21089.487,21242.908,22258.745,23835.33,23052.479,21615.791,20294.599,20053.798,20577.807,21542.27,20669.143,17819.027,14354.863,9727.734,6461.202,3911.104,2051.136,626.636,97.104
United States Virgin Islands,NA,HIC,Latin America & Caribbean,High income,13,5.97,6.898,7.242,6.776,6.484,6.247,4.688,5.043,5.541,6.225,7.085,7.364,7.458,6.563,6.347,4.554,2.393,1.079,0.367,0.088,0.011
Uruguay,23572.17746,HIC,Latin America & Caribbean,High income,13,236.656,236.414,233.314,245.615,254.065,257.495,239.616,221.53,234.364,220.656,196.341,194.736,178.824,149.097,123.811,96.455,70.331,48.223,25.232,8.809,2.143
Uzbekistan,8556.051512,LMIC,Europe & Central Asia,Lower middle income,7,3431.637,3282.087,2925.422,2535.432,2782.336,3164.651,3030.397,2546.798,2105.4,1825.1,1568.642,1500.119,1168.385,771.243,343.946,228.204,163.802,67.757,23.65,3.712,0.479
Vanuatu,3221.149823,LMIC,East Asia & Pacific,Lower middle income,12,42.08,38.805,37.092,29.834,25.909,24.859,22.997,18.006,16.116,13.076,11.562,8.983,6.75,4.687,3.149,1.689,1.211,0.297,0.044,0.004,0
Venezuela (Bolivarian Republic of),NA,UMIC,Latin America & Caribbean,Upper middle income,13,2363.409,2731.19,2657.796,2500.772,2101.628,2028.711,2064.324,1963.597,1867.72,1697.254,1599.831,1415.152,1177.441,865.114,603.581,386.279,226.565,118.75,49.076,14.875,2.878
Vietnam,7447.814334,LMIC,East Asia & Pacific,Lower middle income,12,7892.471,7586.101,7098.174,6500.869,6820.203,8569.293,8437.027,7763.897,7033.826,6539.136,5868.357,5241.611,4330.954,3011.733,1651.958,1126.514,860.586,609.173,274.625,98.225,23.85
Western Sahara,NA,LIC,NA,NA,15,56.47,56.124,49.832,48.537,50.165,54.82,56.162,52.553,45.719,37.075,29.218,22.733,17.632,10.742,5.094,2.518,1.317,0.481,0.121,0.016,0.001
Yemen,2575.126385,LIC,Middle East & North Africa,Low income,15,4115.306,3918.102,3548.681,3201.593,2925.246,2807.5,2329.316,1811.122,1362.091,1000.713,773.313,649.522,509.267,370.183,258.978,144.493,69.141,24.423,5.989,0.911,0.078
Zambia,4223.906936,LMIC,Sub-Saharan Africa,Lower middle income,15,2946.454,2717.088,2428.598,2121.583,1746.939,1433.444,1193.475,991.719,808.231,605.658,433.597,327.662,237.554,166.281,112.763,67.202,32.916,10.863,1.803,0.121,0.005
Zimbabwe,3029.793005,LMIC,Sub-Saharan Africa,Lower middle income,15,2097.448,2210.712,1921.06,1638.895,1377.829,1105.162,994.874,872.602,737.527,520.295,389.42,308.669,240.442,184.973,114.658,85.7,43.888,15.46,3.027,0.267,0.019
